"Flash Results, Inc. - Contractor License","Hy-Tek's MEET MANAGER  9/20/2017  Page 1","NCAA Division 1 2017 Indoor Championship","Gilliam Indoor Track  - 3/10/2017 to 3/11/2017",,"NCAA Meet - Records","1","Men 60 Meter Dash","6.47","3/12/2016","Ronnie Baker  -  TCU",
"Flash Results, Inc. - Contractor License","Hy-Tek's MEET MANAGER  9/20/2017  Page 1","NCAA Division 1 2017 Indoor Championship","Gilliam Indoor Track  - 3/10/2017 to 3/11/2017",,"NCAA Meet - Records","2","Men 200 Meter Dash","20.10","3/11/2005","Wallace Spearmon  -  Arkansas",
"Flash Results, Inc. - Contractor License","Hy-Tek's MEET MANAGER  9/20/2017  Page 1","NCAA Division 1 2017 Indoor Championship","Gilliam Indoor Track  - 3/10/2017 to 3/11/2017",,"NCAA Meet - Records","3","Men 400 Meter Dash","44.57","3/12/2005","Kerron Clement  -  Florida",
"Flash Results, Inc. - Contractor License","Hy-Tek's MEET MANAGER  9/20/2017  Page 1","NCAA Division 1 2017 Indoor Championship","Gilliam Indoor Track  - 3/10/2017 to 3/11/2017",,"NCAA Meet - Records","4","Men 800 Meter Run","1:45.33","3/10/2001","Patrick Nduwimana  -  Arizona",
"Flash Results, Inc. - Contractor License","Hy-Tek's MEET MANAGER  9/20/2017  Page 1","NCAA Division 1 2017 Indoor Championship","Gilliam Indoor Track  - 3/10/2017 to 3/11/2017",,"NCAA Meet - Records","5","Men 1 Mile Run","3:54.74","3/9/2013","Lawi Lalang  -  Arizona",
"Flash Results, Inc. - Contractor License","Hy-Tek's MEET MANAGER  9/20/2017  Page 1","NCAA Division 1 2017 Indoor Championship","Gilliam Indoor Track  - 3/10/2017 to 3/11/2017",,"NCAA Meet - Records","6","Men 3000 Meter Run","7:45.94","3/9/2013","Lawi Lalang  -  Arizona",
"Flash Results, Inc. - Contractor License","Hy-Tek's MEET MANAGER  9/20/2017  Page 1","NCAA Division 1 2017 Indoor Championship","Gilliam Indoor Track  - 3/10/2017 to 3/11/2017",,"NCAA Meet - Records","7","Men 5000 Meter Run","13:25.11","3/9/2012","Lawi Lalang  -  Arizona",
"Flash Results, Inc. - Contractor License","Hy-Tek's MEET MANAGER  9/20/2017  Page 1","NCAA Division 1 2017 Indoor Championship","Gilliam Indoor Track  - 3/10/2017 to 3/11/2017",,"NCAA Meet - Records","8","Men 60 Meter Hurdles","7.45","3/14/2015","Omar McLeod  -  Arkansas",
"Flash Results, Inc. - Contractor License","Hy-Tek's MEET MANAGER  9/20/2017  Page 1","NCAA Division 1 2017 Indoor Championship","Gilliam Indoor Track  - 3/10/2017 to 3/11/2017",,"NCAA Meet - Records","9","Men 4x400 Meter Relay","3:02.86","3/14/2015","Texas A&M  -  Texas A&M","G Coleman, B Taplin, S Hart, D Lendore"
"Flash Results, Inc. - Contractor License","Hy-Tek's MEET MANAGER  9/20/2017  Page 1","NCAA Division 1 2017 Indoor Championship","Gilliam Indoor Track  - 3/10/2017 to 3/11/2017",,"NCAA Meet - Records","10","Men Distance Medley","9:27.27","3/11/2016","Oregon  -  Oregon","M Maton, B Thiel, G Grosvenor, E Cheserek"
"Flash Results, Inc. - Contractor License","Hy-Tek's MEET MANAGER  9/20/2017  Page 1","NCAA Division 1 2017 Indoor Championship","Gilliam Indoor Track  - 3/10/2017 to 3/11/2017",,"NCAA Meet - Records","11","Men High Jump","2.37m","3/11/1989","Hollis Conway  -  Louisiana",
"Flash Results, Inc. - Contractor License","Hy-Tek's MEET MANAGER  9/20/2017  Page 1","NCAA Division 1 2017 Indoor Championship","Gilliam Indoor Track  - 3/10/2017 to 3/11/2017",,"NCAA Meet - Records","12","Men Pole Vault","5.91m","3/13/2015","Shawn Barber  -  Akron",
